Sample	ST	WB	NT	BR	MP	AssignedPop	Site	Location	State	Country	Lat	Long	Date	Stage	AssignmentOld	ConsistencyOld	Dataset	Notes
00N0043	0.5	0.5	0	0	0	uncertain	BE	San Ignacio	Cayo	Belize	17.153562	-89.078602	1/4/00	Wintering	WB	0.9	Individual	
00N0047	0	1	0	0	0	WB	BE	San Ignacio	Cayo	Belize	17.153562	-89.078602	1/5/00	Wintering	WB	1	Individual	
00N0066	0	0.6	0.4	0	0	uncertain	BE	San Ignacio	Cayo	Belize	17.153562	-89.078602	1/10/00	Wintering	WB	0.8	Individual	
00N0089	0	1	0	0	0	WB	BE	San Ignacio	Cayo	Belize	17.153562	-89.078602	1/16/00	Wintering	WB	1	Individual	
00N0103	0	1	0	0	0	WB	BE	San Ignacio	Cayo	Belize	17.153562	-89.078602	1/8/00	Wintering	WB	1	Individual	
03N0947	0	1	0	0	0	WB	CR2	Agua Buena	Puntarenas	Costa Rica	8.754194245	-82.92589174	2/24/03	Wintering	WB	1	Individual	
03N6492	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.586944	-95.077222	12/2/03	Wintering	WB	1	Individual	
03N6493	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.586944	-95.077222	12/2/03	Wintering	WB	1	Individual	
04N5238	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.586944	-95.077222	1/23/04	Wintering	WB	1	Individual	
04N5239	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.642222	-95.091111	2/3/04	Wintering	WB	1	Individual	
04N5240	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.586944	-95.077222	2/8/04	Wintering	WB	1	Individual	
04N5241	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.642222	-95.091111	3/16/04	Wintering	WB	1	Individual	
04N5242	0	1	0	0	0	WB	MX2	Los Tuxtlas	Veracruz	Mexico	18.586944	-95.077222	11/14/04	Wintering	WB	1	Individual	
