Sample	W_E_Boreal	PNW	PacificCoast	BGP_ID	CollectionDate	Country_code	State	CityTown	Location	ClimGroup	Lat	Long	Stage	Reference 
00N0540	1	0	0	00N0540	1/4/00	Ecuador	Napo	Guamani	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5500	0	1	0	00N5500	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5502	0	0	1	00N5502	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5503	0	0	1	00N5503	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5505	0	0	1	00N5505	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5507	0	0	1	00N5507	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5508	0	0	1	00N5508	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
00N5509	0	0	1	00N5509	12/17/00	Mexico	Chiapas	Ocozocoautla	Ocozocoautla	Mexico_Ocozocoautla	16.999774	-93.66657	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3090	1	0	0	01N3090	1/10/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3108	1	0	0	01N3108	1/10/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3113	1	0	0	01N3113	1/10/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3117	1	0	0	01N3117	1/10/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3119	1	0	0	01N3119	1/11/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3120	1	0	0	01N3120	1/11/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3121	1	0	0	01N3121	1/11/01	Ecuador	Napo	HOLLIN 2	Hollin	Ecuador_Hollin	-0.689	-77.727	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3123	1	0	0	01N3123	1/14/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3127	1	0	0	01N3127	1/14/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3145	1	0	0	01N3145	1/14/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3151	1	0	0	01N3151	1/15/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3153	1	0	0	01N3153	1/15/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3194	1	0	0	01N3194	1/19/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3195	1	0	0	01N3195	1/19/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
01N3200	1	0	0	01N3200	1/21/01	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
03N1491	1	0	0	03N1491	12/16/03	Costa Rica	Guanacaste	NA	Guanacaste	Costa Rica_Guanacaste	11.5667	-85.6667	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
03N1492	0	0	1	03N1492	12/31/03	Costa Rica	Costa Rica	CURU WILDLIFE REFUGE	Curu Wildlife Refuge	Costa Rica_Monte Verde	10.643	-84.9278	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
04N0076	1	0	0	04N0076	1/28/04	Ecuador	Pichincha	Mindo	Mindo	Ecuador_Mindo	-0.04847	-78.77523	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N11572	0	1	0	07N11572	12/17/07	Guatemala	Izabal	NA	Izabal	Guatemala_Izabal	15.638889	-88.869444	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N51683	0	0	1	07N51683	2/9/08	El Salvador	Santa Ana	Metapan	Metapan	El Salvador_Santa Ana	14.4025	-89.360278	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N51685	0	0	1	07N51685	2/9/08	El Salvador	Santa Ana	Metapan	Metapan	El Salvador_Santa Ana	14.4025	-89.360278	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N51690	0	1	0	07N51690	2/9/08	El Salvador	Santa Ana	Metapan	Metapan	El Salvador_Santa Ana	14.4025	-89.360278	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N51755	0	0	1	07N51755	2/20/08	El Salvador	Ahuachapan	San Miguelito	San Miguelito	El Salvador_San Miguelito	13.823056	-89.943333	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N51761	0	0	1	07N51761	2/21/08	El Salvador	Ahuachapan	San Miguelito	San Miguelito	El Salvador_San Miguelito	13.823056	-89.943333	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N51762	0	0	1	07N51762	2/21/08	El Salvador	Ahuachapan	San Miguelito	San Miguelito	El Salvador_San Miguelito	13.823056	-89.943333	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
