pop,precip,temp,MEM1,MEM2,MEM4
BA,37.5,22.1,0.783759762,-1.388765352,-0.464226972
BE,85.25,23.279,-1.522303434,-0.09230969,0.454261623
COL,109.583,25.708,-0.163819212,0.290938157,-3.245426049
CR1,6.038,27.49,-1.286829789,-0.008271095,0.726963366
CR2,62.95,20.857,-1.026578345,0.231135316,0.372745839
CU,33.361,24.955,1.0616805,-1.077351456,0.100469975
DR,44.25,25.048,1.222185228,-0.346499096,0.388482438
JM,73.026,25.03,0.79691061,-1.314513399,0.42944551
MX1,40.466,23.078,-1.09716524,-0.655047618,0.480327849
MX2,118.291,22.227,-0.981692271,-0.169535096,-0.362624595
PR,58,23.919,1.127886254,0.872299629,0.738683649
SM,63.25,25.273,0.695353781,1.769566838,0.351835828
TR,106.271,25.328,0.390612156,1.888352863,0.029061539
