pop,precip,temp,MEM1,MEM2
AK_Denali,68.19047619,10.63047614,-0.228738298,-2.131038581
AK_Juneau,91.33333333,4.345333417,-0.509114576,-0.210325412
AK_YukonFlats,23,14.20133336,-0.225842819,-2.130155427
Alberta_RangerCreek,54.125,12.47883332,-0.524602542,-0.096200972
British_Columbia_QCI,107.6666667,11.43733311,-0.520469281,-0.164278327
CA_Arcata,11.5,14.98742867,-0.523644838,-0.049155145
CA_BlueLake,11.33333333,16.06533368,-0.523670887,-0.048849116
CA_HalfMoon,4.333333333,14.9240001,-0.430720008,1.610430095
CA_Kyburz,15,14.40399996,-0.432051438,1.611536958
Newfoundland,121.3333333,12.47066689,2.150948139,0.101594018
Nova_Scotia,101.1666667,14.86311587,2.152597957,0.101748069
OR_CamasValley,21.33333333,17.14133358,-0.525758727,-0.064429409
OR_McKenzieBridge,32.66666667,14.74266656,-0.526493942,-0.069532247
OR_Umatilla,30,14.00333329,-0.52577616,-0.071737734
Quebec,110,16.54266612,2.149136943,0.101424364
UT,28.75,18.23633298,-0.428522296,1.609384458
WA_Falls_View,49.33333333,13.80799993,-0.527277226,-0.100415592
