pop,precip,temp,MEM1,MEM2
AR_Tucuman,168.6666667,24.05733299,0.653830392,2.825754207
CO_Cundinamarca,117.8666667,20.98204426,1.226950315,-0.757261434
CR_MonteVerde,255.6666667,23.72026596,-0.189488305,-0.699536598
CR_SanVito,71.25,20.74633328,0.039777153,-0.974044305
EC_Cosanga,107.6666667,12.21333345,1.234122632,-0.749522019
EC_Hollin,206.3846154,20.03753838,1.414565696,-0.367160688
EC_Mindo,296,18.92533302,1.233732818,-0.748426223
ES_SanMiguelito,4.666666667,23.35999997,-0.496236334,-0.513336406
ES_SantaAna,11.0952381,19.25371452,-0.495579413,-0.514336538
MX_Chiapas,6.333333333,16.89733315,-1.16722062,0.320590662
MX_Ocozocoautla,70.66666667,20.19466718,-1.167746635,0.32904834
MX_PlumaHidalgo,16.66666667,21.34911103,-1.165453375,0.339477415
MX_ReservaElOcote,235.3333333,22.3226668,-1.167625979,0.329570581
MX_Tamaulipas,22.86666667,16.80906658,-1.157941516,0.728795567
NI_Granada,11.66666667,24.89999962,-0.2054651,-0.68624179
NI_Ticuantepe,25.66666667,21.30399958,-0.208116829,-0.683847415
PE_Ucayali,208.3333333,25.67066638,1.617895099,1.820476645
