pop,precip,temp,MEM1,MEM2,MEM3,MEM4,MEM5
AZ1,19.66666667,24.39199956,-0.691001772,0.682631826,0.578321308,-1.56079009,-0.475063864
AZ2,5,27.6679999,0.441513643,0.724047112,0.428055357,0.509152811,0.757264055
AZ3,18.33333333,25.31999969,-1.144749396,0.586138863,0.648234502,1.200283556,0.083582276
AZ4,18,27.90000025,-0.697393752,0.678422705,0.583627123,-1.537190764,-0.470784019
AZ5,17.33333334,27.1646665,-0.940171297,0.648501555,0.668940579,-0.254535804,-0.39163368
AZ6,39,13.83066654,-1.149413675,0.586515056,0.632787752,1.20184914,0.051797144
CA1,26.66666667,14.86800035,1.427873096,0.369015207,0.06566548,-2.506148559,-0.695502159
CA2,7,20.76666705,0.496730151,0.70948663,0.403486582,0.496395283,0.751388315
CA3,4,21.98933347,0.478145263,0.711008498,0.425876088,0.492721413,0.772882574
CA4,2,17.5066665,0.485264504,0.698345522,0.434863823,0.481181455,0.789093989
CA5,5.666666666,18.23573288,-0.122583896,0.790505094,0.893269286,-1.146431743,1.824729905
CO1,49.33333333,8.93200016,-0.820838544,0.388981803,-0.246402506,-1.967495163,-0.040915739
CO2,24.33333333,14.07466666,-1.350875972,-0.027243422,-0.660419697,0.642253557,2.181918479
ID1,45.66666667,13.44933351,0.109267653,0.25667991,-0.911921577,0.086641215,-0.707427967
ID2,33,14.96933333,0.115396052,0.269096781,-0.894896204,0.088528246,-0.689380189
MN,98.33333333,19.0346667,-0.563622756,-2.032154027,-1.688673074,-0.229702849,2.388357781
NM1,30.66666667,20.58133316,-1.251188661,0.488578326,0.592922464,1.368034423,-0.825047678
NM2,38.86666667,13.87280019,-1.27249854,0.292921519,-0.182403639,0.78054215,0.507662161
NM3,25.66666667,16.54800034,-0.949790894,0.643971168,0.636360681,-0.255732964,-0.464033963
NV1,5.666666667,25.49733289,0.463959459,0.720109819,0.419753145,0.503935077,0.757153868
NV2,10.66666667,22.26666705,0.21444239,0.584267444,-0.040137416,0.493858816,-1.095415625
NY,93.73333333,17.58053341,0.161118751,-2.467759538,1.902727922,0.010063044,-0.329810896
OR1,20,14.90399996,0.726057931,0.595963086,0.170223509,-0.292382073,1.257752364
OR2,67.13333333,13.43600006,2.011932585,-0.265139754,-0.80543908,1.417683368,-0.739804965
OR3,35.66666667,15.09733359,2.006197265,-0.123917777,-0.549971875,0.764249625,0.587661243
OR4,20.66666667,13.66799959,1.696908255,0.159928019,-0.301675233,-2.188334644,-0.110729875
OR5,42.66666667,15.11600018,2.019892328,-0.255043353,-0.804272222,1.430316881,-0.732667887
PA,110.1666667,19.07766636,0.161520299,-2.474543133,1.911909965,0.010165866,-0.33389245
SD1,77,18.50399971,-1.738035213,-0.883098507,-1.647501171,-0.027827829,-2.601535203
SD2,79,18.01333364,-0.816115966,-1.753416711,-2.793654725,-0.70676973,0.771160499
TN1,114,18.77466647,0.16074433,-2.461427888,1.894087879,0.009964203,-0.325853199
UT1,12.66666667,24.01333364,0.194863932,0.58519714,-0.038889101,0.498229444,-1.112163246
UT2,29,11.96533298,0.073795749,0.294610459,-0.849662684,0.094867043,-0.656632871
UT3,35.66666667,8.773333073,0.062656697,0.27882057,-0.875193242,0.092425598,-0.68410918
