pop,precip,temp,MEM1,MEM2,MEM3
CR1,7.051282051,27.03446198,-0.128075982,-1.423113418,-0.216361872
CR2,10.33333333,26.69393957,-0.323572176,-1.482691006,-0.239765546
CR3,84.80952381,25.88152359,-0.843058568,-1.388497746,0.337773797
EC1,240.3333333,25.31599935,-1.389091565,1.200023793,-0.863623966
EC2,267,24.28399976,-1.17980369,1.3297247,-1.164571629
EC3,206.0833334,25.66766659,-1.179454231,1.329246336,-1.163832777
EC4,271.6666667,23.40000025,-1.179683705,1.329579139,-1.164362757
EL1,2.5,25.86466662,0.843640091,-0.645372608,-1.014441491
EL2,2,25.70533371,0.847652899,-0.641245551,-1.013352092
GT1,94.66666669,24.61638069,0.982306807,-0.378028137,-1.109233108
GT2,4.5,26.37000021,1.095947564,-0.18570408,-0.642739353
GT3,14.33333333,25.73733393,1.176199847,0.053609762,0.02984945
MX1,7.333333333,25.52133369,0.495420659,1.242765939,2.125718268
MX2,7.25,26.00622511,0.724925511,1.08628198,1.525821256
MX3,4,27.28333346,1.226181332,0.327484108,0.12284505
MX4,1.666666667,27.08245595,1.241443757,0.59489412,0.226108321
MX5,19.66666667,21.89599991,-0.372928393,0.710310273,1.325470524
MX6,5,25.97733307,1.152000518,0.788195218,0.543814451
NI1,2.666666667,27.5744002,0.491854276,-0.995310313,-0.878386101
PAN1,65.66666667,26.55333265,-1.388209706,-0.73764933,0.991875488
PAN2,21,27.20133336,-1.18389839,-0.968264805,1.254819147
PAN3,30.33333333,27.22533353,-1.109796857,-1.146238374,0.986574939
