Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset,Notes
SERU2001,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,Individual,
SERU2003,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU2021,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU2022,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,Individual,
SERU2023,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU2024,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,Individual,
SERU2025,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU2028,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU2030,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU9702,BC1,Mt. Blanchet,British Columbia,Canada,55.324692,-125.81,8/1/94,Breeding,WB,1,LOO,
SERU2004,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,0.6,LOO,
SERU2006,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
SERU2008,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
SERU2010,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,0.7,Individual,
SERU2014,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,BR,0.7,LOO,
SERU2015,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
SERU2016,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
SERU2017,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
SERU2018,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
SERU2019,BC2,Monashee,British Columbia,Canada,50.59,-118.12,8/1/94,Breeding,WB,1,LOO,
18N01067,KY,Benton,Kentucky,USA,36.851298,-88.330501,5/17/18,Breeding,ST,1,LOO,
18N01068,KY,Benton,Kentucky,USA,36.851298,-88.330501,7/10/18,Breeding,ST,1,Individual,
18N01069,KY,Benton,Kentucky,USA,36.851298,-88.330501,7/17/18,Breeding,ST,1,Individual,
18N01070,KY,Benton,Kentucky,USA,36.851298,-88.330501,8/23/18,Breeding,ST,1,LOO,
18N01071,KY,Benton,Kentucky,USA,36.928076,-88.456009,8/23/18,Breeding,ST,1,LOO,
