Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset
1590-97233,AZ1,camp_verde,Arizona,USA,34.5583,-111.842,6/23/97,Breeding,SW,1,Individual
1590-97234,AZ1,camp_verde,Arizona,USA,34.5583,-111.842,6/23/97,Breeding,SW,1,Individual
1590-97368,AZ1,camp_verde,Arizona,USA,34.5583,-111.842,7/8/97,Breeding,SW,1,Individual
1710-46386,AZ1,camp_verde,Arizona,USA,34.5583,-111.842,6/25/00,Breeding,SW,1,LOO
1740-91532,AZ1,camp_verde,Arizona,USA,34.5583,-111.842,7/6/96,Breeding,SW,1,Individual
1740-91684,AZ1,camp_verde,Arizona,USA,34.5583,-111.842,6/28/98,Breeding,SW,1,Individual
1590-97342,AZ2,co_river,Arizona,USA,36.0503,-114.733,6/17/97,Breeding,SW,1,Individual
1590-97343,AZ2,co_river,Arizona,USA,36.0503,-114.733,6/18/97,Breeding,SW,1,LOO
1590-97344,AZ2,co_river,Arizona,USA,36.0503,-114.733,6/18/97,Breeding,SW,1,Individual
1710-20638,AZ2,co_river,Arizona,USA,36.0503,-114.733,NA,Breeding,SW,1,Individual
2140-66628,AZ2,co_river,Arizona,USA,36.0503,-114.733,7/8/98,Breeding,SW,1,Individual
2140-66640,AZ2,co_river,Arizona,USA,36.0503,-114.733,8/3/98,Breeding,SW,1,Individual
1740-51668,AZ3,east_pima,Arizona,USA,32.8283,-109.705,5/30/02,Breeding,SW,1,Individual
1740-51669,AZ3,east_pima,Arizona,USA,32.8283,-109.705,5/30/02,Breeding,SW,1,Individual
1740-51674,AZ3,east_pima,Arizona,USA,32.8283,-109.705,5/30/02,Breeding,SW,1,LOO
1740-51677,AZ3,east_pima,Arizona,USA,32.8283,-109.705,5/30/02,Breeding,SW,1,Individual
1740-51678,AZ3,east_pima,Arizona,USA,32.8283,-109.705,5/30/02,Breeding,SW,1,LOO
1740-51681,AZ3,east_pima,Arizona,USA,32.8283,-109.705,5/30/02,Breeding,SW,1,LOO
1590-97252,AZ4,roosevelt_lake,Arizona,USA,33.767,-111.242,6/30/97,Breeding,SW,1,Individual
1710-20576,AZ4,roosevelt_lake,Arizona,USA,33.767,-111.242,7/7/99,Breeding,SW,1,LOO
1740-51747,AZ4,roosevelt_lake,Arizona,USA,33.767,-111.242,7/16/02,Breeding,SW,1,Individual
1740-51748,AZ4,roosevelt_lake,Arizona,USA,33.767,-111.242,6/30/02,Breeding,SW,1,LOO
1740-51780,AZ4,roosevelt_lake,Arizona,USA,33.767,-111.242,6/30/02,Breeding,SW,1,LOO
1740-51802,AZ4,roosevelt_lake,Arizona,USA,33.767,-111.242,6/26/02,Breeding,SW,1,Individual
1710-20383,AZ5,san_pedro,Arizona,USA,32.975,-110.767,7/7/99,Breeding,SW,1,Individual
1710-20482,AZ5,san_pedro,Arizona,USA,32.975,-110.767,6/28/99,Breeding,SW,1,LOO
1710-20484,AZ5,san_pedro,Arizona,USA,32.975,-110.767,6/28/99,Breeding,SW,1,LOO
1710-20491,AZ5,san_pedro,Arizona,USA,32.975,-110.767,7/4/99,Breeding,SW,1,LOO
1710-20641,AZ5,san_carlos,Arizona,USA,33.1967,-110.439,6/20/00,Breeding,SW,1,LOO
1710-20643,AZ5,san_carlos,Arizona,USA,33.1967,-110.439,6/20/00,Breeding,SW,1,Individual
1710-20645,AZ5,san_carlos,Arizona,USA,33.1967,-110.439,6/29/00,Breeding,SW,1,LOO
1710-20661,AZ5,san_carlos,Arizona,USA,33.1967,-110.439,6/29/00,Breeding,SW,1,LOO
1710-46394,AZ5,san_carlos,Arizona,USA,33.1967,-110.439,6/20/00,Breeding,SW,1,Individual
1710-46397,AZ5,san_carlos,Arizona,USA,33.1967,-110.439,6/21/00,Breeding,SW,1,Individual
1740-91635,AZ5,san_pedro,Arizona,USA,32.975,-110.767,7/12/96,Breeding,SW,1,Individual
1740-91903,AZ5,san_pedro,Arizona,USA,32.975,-110.767,5/30/97,Breeding,SW,1,Individual
1590-97232,AZ6,white_mts,Arizona,USA,34,-109,6/17/97,Breeding,PNW_INW,1,Individual
1590-97376,AZ6,white_mts,Arizona,USA,34,-109,7/14/97,Breeding,PNW_INW,1,Individual
1710-20631,AZ6,white_mts,Arizona,USA,34,-109,7/14/98,Breeding,PNW_INW,1,Individual
1710-20632,AZ6,white_mts,Arizona,USA,34,-109,7/14/98,Breeding,PNW_INW,1,Individual
1710-20633,AZ6,white_mts,Arizona,USA,34,-109,7/14/98,Breeding,PNW_INW,1,Individual
1740-91633,AZ6,white_mts,Arizona,USA,34,-109,7/11/96,Breeding,PNW_INW,1,Individual
1710-20367,CA1,bigelow,California,USA,41.2583,-121.883,7/15/98,Breeding,PNW_INW,1,Individual
1710-20369,CA1,bigelow,California,USA,41.2583,-121.883,7/15/98,Breeding,PNW_INW,1,Individual
1710-46313,CA1,bigelow,California,USA,41.2583,-121.883,7/15/98,Breeding,PNW_INW,1,Individual
1710-46315,CA1,bigelow,California,USA,41.2583,-121.883,7/15/98,Breeding,PNW_INW,1,Individual
1710-46332,CA2,owens_river,California,USA,37.4083,-118.479,7/9/99,Breeding,PNW_INW,1,Individual
1710-46334,CA2,owens_river,California,USA,37.4083,-118.479,7/10/99,Breeding,PNW_INW,1,Individual
1710-46341,CA2,owens_river,California,USA,37.4083,-118.479,7/9/99,Breeding,PNW_INW,1,Individual
1710-46343,CA2,owens_river,California,USA,37.4083,-118.479,7/10/99,Breeding,PNW_INW,1,Individual
2170-11718,CA3,kern,California,USA,35.6594,-118.464,7/7/09,Breeding,PNW_INW,1,Individual
2170-11726,CA3,kern,California,USA,35.6594,-118.464,7/13/09,Breeding,PNW_INW,1,Individual
2170-11753,CA3,kern,California,USA,35.6594,-118.464,7/5/10,Breeding,PNW_INW,1,Individual
2290-20010,CA3,kern,California,USA,35.6594,-118.464,7/14/04,Breeding,SD,0.9,Individual
2290-20025,CA3,kern,California,USA,35.6594,-118.464,7/2/05,Breeding,PNW_INW,1,Individual
2290-20031,CA3,kern,California,USA,35.6594,-118.464,7/15/05,Breeding,PNW_INW,1,Individual
1590-97330,CA4,santa_ynez,California,USA,34.6167,-120.183,6/12/97,Breeding,SD,0.9,Individual
1590-97331,CA4,santa_ynez,California,USA,34.6167,-120.183,6/12/97,Breeding,SD,1,Individual
1590-97333,CA4,santa_ynez,California,USA,34.6167,-120.183,6/12/97,Breeding,SD,1,Individual
1590-97334,CA4,santa_ynez,California,USA,34.6167,-120.183,6/14/97,Breeding,SD,0.9,Individual
1590-97335,CA4,santa_ynez,California,USA,34.6167,-120.183,6/14/97,Breeding,SD,0.6,Individual
2540-83429,CA5,san_diego,California,USA,33.27645,-117.375,6/24/11,Breeding,SD,0.8,Individual
2640-79001,CA5,san_diego,California,USA,33.24833,-116.785,6/18/10,Breeding,SD,1,LOO
2640-79003,CA5,san_diego,California,USA,33.24833,-116.785,6/18/10,Breeding,SD,1,LOO
2640-87052,CA5,san_diego,California,USA,33.24833,-116.785,8/6/10,Breeding,SD,1,LOO
2640-87053,CA5,san_diego,California,USA,33.24833,-116.785,8/6/10,Breeding,SD,1,LOO
2540-83432,CA5,san_diego,California,USA,33.27645,-117.375,6/25/10,Breeding,SD,1,LOO
2540-83436,CA5,san_diego,California,USA,33.27645,-117.375,7/6/10,Breeding,SD,1,LOO
2540-83437,CA5,san_diego,California,USA,33.27645,-117.375,7/6/10,Breeding,SD,1,LOO
2540-99997,CA5,san_diego,California,USA,33.27645,-117.375,7/6/10,Breeding,SD,1,LOO
2580-61405,CA5,san_diego,California,USA,33.27645,-117.375,6/18/10,Breeding,SD,1,LOO
2580-61406,CA5,san_diego,California,USA,33.27645,-117.375,6/18/10,Breeding,SW,0.333333333,LOO
2580-61408,CA5,san_diego,California,USA,33.27645,-117.375,6/18/10,Breeding,SD,1,LOO
2640-78801,CA5,san_diego,California,USA,33.24833,-116.785,6/18/10,Breeding,SD,1,LOO
2640-78803,CA5,san_diego,California,USA,33.24833,-116.785,6/18/10,Breeding,SD,1,LOO
2640-78804,CA5,san_diego,California,USA,33.24833,-116.785,6/18/10,Breeding,SD,1,LOO
1740-91828,CA6,perazzo,California,USA,39.4864,-120.35,7/17/98,Breeding,PNW_INW,1,Individual
1740-91829,CA6,perazzo,California,USA,39.4864,-120.35,7/17/98,Breeding,PNW_INW,1,Individual
1740-91830,CA6,perazzo,California,USA,39.4864,-120.35,7/17/98,Breeding,PNW_INW,1,Individual
1590-97448,CO1,clear_creek,Colorado,USA,37.7917,-108.236,6/28/97,Breeding,PNW_INW,1,Individual
1590-97451,CO1,clear_creek,Colorado,USA,37.7917,-108.236,6/28/97,Breeding,PNW_INW,1,Individual
1590-97457,CO1,clear_creek,Colorado,USA,37.7917,-108.236,7/1/97,Breeding,PNW_INW,1,Individual
1590-97458,CO1,clear_creek,Colorado,USA,37.7917,-108.236,7/1/97,Breeding,PNW_INW,1,Individual
1590-97460,CO1,clear_creek,Colorado,USA,37.7917,-108.236,7/1/97,Breeding,PNW_INW,1,Individual
2350-24107,CO2,rio_grande,Colorado,USA,37.5,-106,6/14/04,Breeding,PNW_INW,1,Individual
2350-24109,CO2,rio_grande,Colorado,USA,37.5,-106,6/14/04,Breeding,PNW_INW,1,Individual
2350-24118,CO2,rio_grande,Colorado,USA,37.5,-106,6/13/04,Breeding,PNW_INW,1,Individual
2350-24120,CO2,rio_grande,Colorado,USA,37.5,-106,6/13/04,Breeding,PNW_INW,1,Individual
2350-24122,CO2,rio_grande,Colorado,USA,37.5,-106,6/13/04,Breeding,PNW_INW,1,Individual
1740-91946,ID1,fall_creek,Idaho,USA,43.4345,-111.397,7/14/98,Breeding,PNW_INW,1,Individual
