species,season,population,longitude,latitude
amered,nonbreeding,WB,-89.078602,17.153562
amered,nonbreeding,WB,-89.078602,17.153562
amered,nonbreeding,WB,-89.078602,17.153562
amered,nonbreeding,WB,-82.92589174,8.754194245
amered,nonbreeding,WB,-95.077222,18.586944
amered,nonbreeding,WB,-95.077222,18.586944
amered,nonbreeding,WB,-95.077222,18.586944
amered,nonbreeding,WB,-95.091111,18.642222
amered,nonbreeding,WB,-95.077222,18.586944
amered,nonbreeding,WB,-95.091111,18.642222
amered,nonbreeding,WB,-95.077222,18.586944
amered,nonbreeding,NT,-95.091111,18.642222
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,ST,-77.646944,18.356389
amered,nonbreeding,ST,-77.646944,18.356389
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,ST,-77.646944,18.356389
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,ST,-82.92338203,8.816145645
amered,nonbreeding,WB,-85.666667,10.783333
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,WB,-85.666667,10.783333
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,WB,-85.616667,10.616667
amered,nonbreeding,ST,-82.9664433,8.79056072
amered,nonbreeding,ST,-82.92589174,8.754194245
amered,nonbreeding,ST,-82.92338203,8.816145645
amered,nonbreeding,ST,-85.833333,10.316667
amered,nonbreeding,WB,-85.833333,10.316667
amered,nonbreeding,ST,-67.06,18.49
amered,nonbreeding,NT,-67.06,18.49
amered,nonbreeding,NT,-67.06,18.49
amered,nonbreeding,WB,-92.803333,17.974167
amered,nonbreeding,WB,-96.116944,19.111111
amered,nonbreeding,WB,-96.116944,19.111111
amered,nonbreeding,WB,-92.801667,17.976667
amered,nonbreeding,WB,-99.01527,19.657235
amered,nonbreeding,WB,-92.8010591,18.006934
amered,nonbreeding,WB,-87.724472,21.482341
amered,nonbreeding,WB,-88.232269,21.556673
amered,nonbreeding,WB,-88.232269,21.556673
amered,nonbreeding,NT,-87.676515,21.512567
amered,nonbreeding,WB,-87.705059,21.518728
amered,nonbreeding,WB,-90.39362,20.85119
amered,nonbreeding,WB,-90.3925121,20.8551292
amered,nonbreeding,NT,-87.729325,18.636672
amered,nonbreeding,WB,-87.729367,18.637896
amered,nonbreeding,WB,-87.729325,18.636672
amered,nonbreeding,MP,-73.7999,3.97376
amered,nonbreeding,MP,-73.7999,3.97376
amered,nonbreeding,MP,-73.7999,3.97376
amered,nonbreeding,MP,-73.46402,4.06078
amered,nonbreeding,MP,-73.46402,4.06078
amered,nonbreeding,MP,-73.46402,4.06078
amered,nonbreeding,MP,-73.46402,4.06078
amered,nonbreeding,MP,-73.46402,4.06078
amered,nonbreeding,MP,-73.580135,4.071163
amered,nonbreeding,ST,-73.580135,4.071163
amered,nonbreeding,MP,-73.580135,4.071163
amered,nonbreeding,MP,-73.580135,4.071163
amered,nonbreeding,NT,-75.1138,19.9343
amered,nonbreeding,NT,-75.1138,19.9343
amered,nonbreeding,NT,-75.12105,19.9281
amered,nonbreeding,NT,-75.12105,19.9281
amered,nonbreeding,NT,-75.1154,19.9841
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-76.133162,25.03039
amered,nonbreeding,NT,-66.979198,18.1833
amered,nonbreeding,NT,-67.195511,17.959252
amered,nonbreeding,NT,-67.195511,17.959252
amered,nonbreeding,NT,-67.195511,17.959252
amered,nonbreeding,NT,-67.195511,17.959252
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,NT,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,ST,-63.056538,18.087032
amered,nonbreeding,NT,-68.707157,18.161592
amered,nonbreeding,NT,-68.707157,18.161592
amered,nonbreeding,NT,-68.707157,18.161592
amered,nonbreeding,NT,-68.707157,18.161592
amered,nonbreeding,NT,-68.707157,18.161592
amered,nonbreeding,NT,-68.707157,18.161592
amered,nonbreeding,ST,-61.491825,10.424057
amered,nonbreeding,ST,-61.285958,10.707305
amered,nonbreeding,ST,-61.285958,10.707305
amered,nonbreeding,ST,-61.285958,10.707305
amered,nonbreeding,ST,-61.386978,10.38026
amered,nonbreeding,ST,-61.386978,10.38026
amered,nonbreeding,ST,-61.386978,10.38026
amered,nonbreeding,ST,-61.386978,10.38026
amered,nonbreeding,MP,-61.386978,10.38026
amered,nonbreeding,ST,-61.434614,10.607171
amered,nonbreeding,ST,-61.434614,10.607171
amered,nonbreeding,ST,-61.434614,10.607171
amered,nonbreeding,NT,-75.12105,19.9281
amered,nonbreeding,NT,-75.12105,19.9281
amered,nonbreeding,BR,-75.1357,19.9224
amered,nonbreeding,NT,-75.12105,19.9281
amered,nonbreeding,NT,-75.1094,19.9153
amered,nonbreeding,NT,-75.1357,19.9224
amered,nonbreeding,NT,-75.1357,19.9224
amered,nonbreeding,NT,-75.12105,19.9281
amered,nonbreeding,NT,-77.94102177,18.04241994
amered,nonbreeding,ST,-77.94102177,18.04241994
amered,nonbreeding,NT,-77.94102177,18.04241994
amered,nonbreeding,NT,-77.94128054,18.04007078
amered,nonbreeding,ST,-77.94102177,18.04241994
amered,nonbreeding,NT,-77.94102177,18.04241994
amered,nonbreeding,NT,-77.94102177,18.04241994
amered,nonbreeding,NT,-77.93725198,18.03831687
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,PNW,-93.66657,16.999774
swathr,nonbreeding,PacificCoast,-93.66657,16.999774
swathr,nonbreeding,PacificCoast,-93.66657,16.999774
swathr,nonbreeding,PacificCoast,-93.66657,16.999774
swathr,nonbreeding,PacificCoast,-93.66657,16.999774
swathr,nonbreeding,PacificCoast,-93.66657,16.999774
swathr,nonbreeding,PacificCoast,-93.66657,16.999774
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-77.727,-0.689
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,W_E_Boreal,-85.6667,11.5667
swathr,nonbreeding,PacificCoast,-84.9278,10.643
swathr,nonbreeding,W_E_Boreal,-78.77523,-0.04847
swathr,nonbreeding,PNW,-88.869444,15.638889
swathr,nonbreeding,PacificCoast,-89.360278,14.4025
swathr,nonbreeding,PacificCoast,-89.360278,14.4025
