axis,snp,loading,precip,temp,predictor,correlation
1,CM027507.1_RagTag.100124288,0.024005927,0.755377189,0.784614331,temp,0.784614331
1,CM027507.1_RagTag.10034468,0.023908476,0.673278889,0.83921412,temp,0.83921412
1,CM027507.1_RagTag.100736192,0.024004873,0.471826064,0.863058144,temp,0.863058144
1,CM027507.1_RagTag.101545416,0.025564301,0.678291227,0.910315375,temp,0.910315375
1,CM027507.1_RagTag.101566937,-0.02511456,-0.795496431,-0.81161593,temp,0.81161593
1,CM027507.1_RagTag.101613546,0.023792761,0.751107366,0.796242614,temp,0.796242614
1,CM027507.1_RagTag.102179792,0.024858999,0.658081868,0.788973606,temp,0.788973606
1,CM027507.1_RagTag.10218493,0.023967048,0.496535435,0.832402483,temp,0.832402483
1,CM027507.1_RagTag.102411235,0.025368077,0.69547794,0.850821022,temp,0.850821022
1,CM027507.1_RagTag.102946549,0.024752058,0.678147522,0.848512553,temp,0.848512553
1,CM027507.1_RagTag.103154425,0.02480216,0.654155087,0.840642412,temp,0.840642412
1,CM027507.1_RagTag.103304724,0.025040763,0.812193972,0.752921632,precip,0.812193972
1,CM027507.1_RagTag.103481665,0.024187225,0.601908448,0.775602967,temp,0.775602967
1,CM027507.1_RagTag.103535154,0.023700617,0.664369211,0.78393255,temp,0.78393255
1,CM027507.1_RagTag.104276999,0.025866283,0.633042816,0.862852259,temp,0.862852259
1,CM027507.1_RagTag.104638833,0.023867718,0.560910951,0.821418423,temp,0.821418423
1,CM027507.1_RagTag.104888055,0.024092788,0.518468978,0.861583717,temp,0.861583717
1,CM027507.1_RagTag.105385155,0.023852813,0.718616742,0.789167734,temp,0.789167734
1,CM027507.1_RagTag.10568524,0.023963736,0.739414848,0.773353179,temp,0.773353179
1,CM027507.1_RagTag.106719136,0.025148977,0.677034555,0.770840096,temp,0.770840096
1,CM027507.1_RagTag.106763161,0.024112908,0.689254844,0.792418178,temp,0.792418178
1,CM027507.1_RagTag.107415303,0.023977493,0.611444751,0.84777472,temp,0.84777472
1,CM027507.1_RagTag.107894714,0.024682027,0.664537094,0.750592882,temp,0.750592882
1,CM027507.1_RagTag.108566743,0.02559556,0.660863146,0.85434365,temp,0.85434365
1,CM027507.1_RagTag.108933239,0.024409649,0.692931468,0.854808841,temp,0.854808841
1,CM027507.1_RagTag.109071204,0.024897909,0.657302742,0.83195687,temp,0.83195687
1,CM027507.1_RagTag.10929549,0.024595962,0.739511145,0.722505515,precip,0.739511145
1,CM027507.1_RagTag.109351802,0.024146452,0.585494318,0.863389516,temp,0.863389516
1,CM027507.1_RagTag.10956806,0.024627709,0.642254606,0.862164939,temp,0.862164939
1,CM027507.1_RagTag.109684290,0.023896201,0.666793267,0.825181217,temp,0.825181217
1,CM027507.1_RagTag.109703356,0.024186283,0.654076976,0.806752951,temp,0.806752951
1,CM027507.1_RagTag.109721933,0.024243652,0.560076461,0.830315459,temp,0.830315459
1,CM027507.1_RagTag.109721935,0.024179894,0.558120663,0.828980718,temp,0.828980718
1,CM027507.1_RagTag.109782082,0.024649715,0.735543864,0.828889121,temp,0.828889121
1,CM027507.1_RagTag.109892830,0.024128159,0.55449411,0.849251203,temp,0.849251203
1,CM027507.1_RagTag.110097320,0.023688226,0.589625558,0.794465181,temp,0.794465181
